Topic,Count,Name,Representation
134,58,134_allergische_allergie_tabletje_geslikt,"['allergische', 'allergie', 'tabletje', 'geslikt', 'reactie', 'intolerantie', 'maandagavond', 'humira', 'tabletjes', 'raadpleeg']"
135,161,135_nov_gepland_dec_eind,"['nov', 'gepland', 'dec', 'eind', 'poliafspraak', 'datum', 'staat', 'begin', 'coloscopie', 'staan']"
136,67,136_beclometason_zetpillen_beclomethason_gebruik,"['beclometason', 'zetpillen', 'beclomethason', 'gebruik', 'pentasa', 'beclametason', 'mezavant', 'duspetal', 'supp', 'hydrocortison']"
137,62,137_rood_rode_vlek_puntjes,"['rood', 'rode', 'vlek', 'puntjes', 'plek', 'gezwollen', 'helder', 'licht', 'kleur', 'dik']"
138,56,138_quanton_cal_test_zelftest,"['quanton', 'cal', 'test', 'zelftest', 'gedaan', 'testje', 'quant', 'uitvoeren', 'doorgestuurd', 'testen']"
139,57,139_reactie_antwoord_bedankt_dank,"['reactie', 'antwoord', 'bedankt', 'dank', 'hoi', 'hallo', 'dankjewel', 'dankuwel', 'antwoorden', 'terugkoppeling']"
140,71,140_ogen_oog_oogarts_oogontsteking,"['ogen', 'oog', 'oogarts', 'oogontsteking', 'ontstoken', 'rood', 'zicht', 'droge', 'linkeroog', 'bril']"
141,52,141_tandarts_tandvlees_kaakchirurg_tanden,"['tandarts', 'tandvlees', 'kaakchirurg', 'tanden', 'kies', 'ontstoken', 'wortelkanaalbehandeling', 'afgebroken', 'bestanden', 'kaakchirurgie']"
142,108,142_hieraan_oplossen_hiermee_gegaan,"['hieraan', 'oplossen', 'hiermee', 'gegaan', 'mis', 'fout', 'probleem', 'eraan', 'belangrijker', 'oplossing']"
143,109,143_moeite_bedankt_hulp_dank,"['moeite', 'bedankt', 'hulp', 'dank', 'medewerking', 'alvast', 'terugkoppeling', 'dankjewel', 'nogmaals', 'hartelijk']"
144,112,144_uitslag_uitslagen_toevallig_hiervan,"['uitslag', 'uitslagen', 'toevallig', 'hiervan', 'resultaten', 'vragenlijst', 'uitgekomen', 'overlegd', 'ontvangen', 'gekomen']"
145,289,145_vergeten_gebeurd_gelukt_heden,"['vergeten', 'gebeurd', 'gelukt', 'heden', 'helaas', 'sorry', 'gekomen', 'verwacht', 'gehoord', 'bijlage']"
146,92,146_bericht_dank_bedankt_dankjewel,"['bericht', 'dank', 'bedankt', 'dankjewel', 'berichtje', 'mail', 'hartelijk', 'berichten', 'hou', 'advies']"
147,93,147_reactie_groet_vriendelijke_bedankt,"['reactie', 'groet', 'vriendelijke', 'bedankt', 'alvast', 'dank', 'afwachting', 'hartelijk', 'hartelijke', 'tegemoet']"
148,126,148_waarde_crp_verhoogd_hoog,"['waarde', 'crp', 'verhoogd', 'hoog', 'gestegen', 'waarden', 'percentage', 'verhoging', 'cijfers', 'intensief']"
