model_name,combination,min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,weighted_avg_sim,unweighted_avg_sim,document_coverage,number_of_topics
robbert,"(40, 7, 30)",40,7,30,0.689873417721519,0.3795230308011392,0.5032183812729356,0.52818406,0.6585276879301539,158
robbert,"(40, 7, 40)",40,7,40,0.6961783439490445,0.37509688320912155,0.5076336498091285,0.5263782,0.659962547727328,157
qwen3,"(10, 5, 10)",10,5,10,0.5414593698175788,0.34476518477423457,0.6253377141084465,0.6713577,0.6434495002310368,603
qwen3,"(10, 5, 20)",10,5,20,0.5580971659919028,0.3464373703329996,0.6261847136692902,0.6726988,0.6104963642111919,494
qwen3,"(10, 5, 30)",10,5,30,0.576887871853547,0.35189604456981116,0.6283814481198308,0.6710568,0.5734088864028795,437
qwen3,"(10, 5, 40)",10,5,40,0.5762135922330097,0.3538434147891336,0.6282261914025323,0.67401856,0.5656509156351078,412
qwen3,"(10, 7, 10)",10,7,10,0.5365217391304348,0.34414695155972663,0.6204739901522391,0.6721465,0.6527152897687201,575
qwen3,"(10, 7, 20)",10,7,20,0.5582463465553236,0.3476197641729684,0.623863372634481,0.67505586,0.6073834480410516,479
qwen3,"(10, 7, 30)",10,7,30,0.5648526077097505,0.3617337568557383,0.6285435808317882,0.676779,0.5803399888129576,441
qwen3,"(10, 7, 40)",10,7,40,0.5901960784313726,0.3572513084757036,0.6290079606343459,0.6716883,0.5638269413166662,408
qwen3,"(10, 10, 10)",10,10,10,0.5474747474747474,0.3431731876972129,0.6267143966308976,0.6706234,0.6281524356137066,594
qwen3,"(10, 10, 20)",10,10,20,0.5712788259958071,0.345738731672901,0.628330129496035,0.66892904,0.5965855200758773,477
qwen3,"(10, 10, 30)",10,10,30,0.5644495412844037,0.3575362828076003,0.6279261143337198,0.67647797,0.5796103990855809,436
qwen3,"(10, 10, 40)",10,10,40,0.5792176039119804,0.3601422770333204,0.625339670791317,0.67401046,0.5758408521608016,409
qwen3,"(10, 15, 10)",10,15,10,0.5432885906040269,0.34581857505908414,0.629207776124567,0.671304,0.6230453075220701,596
qwen3,"(10, 15, 20)",10,15,20,0.5590618336886993,0.34574216959844356,0.6232878057593519,0.6725832,0.6034923028283762,469
qwen3,"(10, 15, 30)",10,15,30,0.5680094786729858,0.35715385871275773,0.6215119997935759,0.6782111,0.594688586784698,422
qwen3,"(10, 15, 40)",10,15,40,0.5772058823529411,0.36138114963365564,0.6254565360651494,0.6756719,0.5799265546341108,408
qwen3,"(15, 5, 10)",15,5,10,0.5923469387755103,0.35148526035961464,0.6102712908730611,0.6529463,0.630389844110995,392
qwen3,"(15, 5, 20)",15,5,20,0.606140350877193,0.3526817732277502,0.6174287958937595,0.6559772,0.5947129064422773,342
qwen3,"(15, 5, 30)",15,5,30,0.6132911392405064,0.36300460727448874,0.6135622800395053,0.6586407,0.5937401201391085,316
qwen3,"(15, 5, 40)",15,5,40,0.6052980132450331,0.35646928588819876,0.6179955961797675,0.6606029,0.5610788200102143,302
qwen3,"(15, 7, 10)",15,7,10,0.5930412371134021,0.35286355941135683,0.6080076280824361,0.65347594,0.6361536029572704,388
qwen3,"(15, 7, 20)",15,7,20,0.6061764705882353,0.3519056074800312,0.6175725961753357,0.6590695,0.5861523869743914,340
qwen3,"(15, 7, 30)",15,7,30,0.6166153846153846,0.35831381989380534,0.6152265505964035,0.6594803,0.5830881101194095,325
qwen3,"(15, 7, 40)",15,7,40,0.6109215017064846,0.3531011817688194,0.6143669908222271,0.65737575,0.5743816727060483,293
qwen3,"(15, 10, 10)",15,10,10,0.5979328165374677,0.3488042787679972,0.6092525644864509,0.6513396,0.6340377927478781,387
qwen3,"(15, 10, 20)",15,10,20,0.6011695906432749,0.3529708134173637,0.6139572328412706,0.65837497,0.5928646124662564,342
qwen3,"(15, 10, 30)",15,10,30,0.6035369774919614,0.35743107177952377,0.6122423641919468,0.6623678,0.5873926895109317,311
qwen3,"(15, 10, 40)",15,10,40,0.6120274914089348,0.35808152282366995,0.6116591577467099,0.662209,0.5732872881149833,291
qwen3,"(15, 15, 10)",15,15,10,0.5835411471321695,0.35072833989169455,0.6117811566137243,0.6574014,0.6225832340280649,401
qwen3,"(15, 15, 20)",15,15,20,0.6032448377581121,0.3558385876644406,0.6113592354144455,0.6598451,0.6037354994041684,339
qwen3,"(15, 15, 30)",15,15,30,0.6081168831168832,0.35733078583820926,0.6116182550430513,0.6641864,0.5921350227388799,308
qwen3,"(15, 15, 40)",15,15,40,0.6073333333333333,0.357703734034698,0.6163293805292968,0.66099346,0.5652374814562611,300
