min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,npmi,doc_assignment_pct,number_of_topics,model_name,run_id,chunk_id
30,12,10,0.6341107871720116,0.4338365582760654,-0.0724988220600001,0.6280496712929146,206,qwen3,run_001,11
30,12,20,0.6486631016042781,0.4358210475139317,-0.0645145779896002,0.5849525200876552,187,qwen3,run_001,11
30,12,30,0.6526315789473685,0.4391848877416153,-0.0600705332510668,0.5800827854881909,171,qwen3,run_001,11
30,12,40,0.6558704453441295,0.4340107196212552,-0.0635026604479235,0.5490869247626005,173,qwen3,run_001,11
30,12,50,0.6603550295857988,0.4413704712404255,-0.0638059991185136,0.5459946432919406,169,qwen3,run_001,11
30,15,10,0.6504065040650406,0.4384212092060213,-0.0740614725793759,0.6370343316289262,197,qwen3,run_001,12
30,15,20,0.6468085106382979,0.4372890315071472,-0.0695826061904813,0.5813976138300463,188,qwen3,run_001,12
30,15,30,0.6519774011299435,0.4344977976686513,-0.061812283106716,0.5680788897005113,177,qwen3,run_001,12
30,15,40,0.6614077669902912,0.4390973858547293,-0.0600625236387087,0.5612369125882639,165,qwen3,run_001,12
30,15,50,0.6607361963190184,0.4426784738759891,-0.0580429042142763,0.537399561723886,163,qwen3,run_001,12
35,5,10,0.6419889502762431,0.4492509115181173,-0.0605997956889757,0.6324567811054298,181,qwen3,run_001,12
35,5,20,0.6452941176470588,0.4497412104026561,-0.0534981792886152,0.570781592403214,170,qwen3,run_001,12
35,5,30,0.6424129353233831,0.4450698232500046,-0.0505229173173038,0.5646457268078889,161,qwen3,run_001,12
35,5,40,0.6567741935483871,0.4470664841938663,-0.0513612691512207,0.5367421475529583,155,qwen3,run_001,12
35,5,50,0.6578581363004172,0.4534751869913324,-0.0427878312630797,0.5479425371317264,144,qwen3,run_001,12
35,7,10,0.6392045454545454,0.445643265049404,-0.0533132917338252,0.6178475773070368,176,qwen3,run_001,13
35,7,20,0.6456647398843931,0.4475252768462638,-0.0567656595244802,0.5746530314097882,173,qwen3,run_001,13
35,7,30,0.6466257668711657,0.4494479630218182,-0.0471769389693689,0.5661796932067202,163,qwen3,run_001,13
35,7,40,0.6564376250833889,0.4476511100767487,-0.0454689682066523,0.5523496469442415,150,qwen3,run_001,13
35,7,50,0.666887417218543,0.4459982919225609,-0.0501832364852504,0.5316776235695154,151,qwen3,run_001,13
35,10,10,0.6313186813186813,0.4480647767984778,-0.0563798522123297,0.6118578037496957,182,qwen3,run_001,13
35,10,20,0.6535714285714286,0.4468407769838344,-0.0535878178016585,0.5712442171901632,168,qwen3,run_001,13
35,10,30,0.6450617283950617,0.4431616409319981,-0.0532179303253305,0.5548088629169711,162,qwen3,run_001,13
35,10,40,0.6626666666666666,0.4461320790759141,-0.0508208456416382,0.5525687850012174,150,qwen3,run_001,13
35,10,50,0.6692307692307692,0.4509948821235746,-0.044659588686622,0.5508156805454103,143,qwen3,run_001,13
35,12,10,0.6392045454545454,0.4419496824206402,-0.0568849550113518,0.6191380569758949,176,qwen3,run_001,14
35,12,20,0.6455089820359281,0.4446632731102732,-0.0542809673714063,0.5733869004139275,167,qwen3,run_001,14
35,12,30,0.6557692307692308,0.4441006941650199,-0.0534866090321265,0.5681032383735086,156,qwen3,run_001,14
35,12,40,0.6535782140595313,0.4472641147274367,-0.0511728036054031,0.5404918431945459,158,qwen3,run_001,14
35,12,50,0.6655172413793103,0.4434788379925733,-0.0466969324937671,0.5690041392744095,145,qwen3,run_001,14
35,15,10,0.6415730337078651,0.4457499409532675,-0.0613297061136086,0.6105429754078403,178,qwen3,run_001,14
35,15,20,0.651875,0.4497977093231119,-0.053406207480873,0.5976381787192598,160,qwen3,run_001,14
35,15,30,0.6599511599511599,0.4399024199540828,-0.0587739254203282,0.5425127830533236,164,qwen3,run_001,14
35,15,40,0.6660130718954248,0.4461242481815469,-0.0511764013241342,0.552763574385196,153,qwen3,run_001,14
35,15,50,0.676595744680851,0.4562203840720677,-0.0429803515269389,0.5465790114438763,141,qwen3,run_001,14
