min_cluster_size,n_components,n_neighbors,diversity_score,c_v_score,document_coverage,number_of_topics,model_name
30,10,10,0.6474511672224869,0.3552794253875811,0.625671830540626,211,qwen3
30,10,20,0.6532474503488996,0.352831492297558,0.5821396434738199,187,qwen3
30,10,30,0.656896551724138,0.3601508682967954,0.5800967922371653,174,qwen3
30,10,40,0.6727501573316551,0.3616866145973774,0.5689340694083027,159,qwen3
30,15,10,0.6382779597566682,0.3588725507515226,0.6160412461392544,215,qwen3
30,15,20,0.6628726287262873,0.354246119083983,0.5855687151924901,185,qwen3
30,15,30,0.6579268292682927,0.3579761077200714,0.584790486149955,164,qwen3
30,15,40,0.6765060240963855,0.3603886158037909,0.5602033123373623,166,qwen3
35,5,10,0.6269884805266045,0.3626064862500716,0.6197621537488752,183,qwen3
35,5,20,0.6619132501485443,0.3554997756973481,0.5860794280016537,169,qwen3
35,5,30,0.6634980988593155,0.3625277822162808,0.5704905274933729,158,qwen3
35,5,40,0.6708609271523179,0.3627195733794662,0.5627082370680221,151,qwen3
35,7,10,0.6282839575181666,0.3604043577626536,0.6099126924292906,180,qwen3
35,7,20,0.6597014925373135,0.3578522098313951,0.5851309613560641,168,qwen3
35,7,30,0.6616883116883117,0.3627799600592195,0.5816532503222355,154,qwen3
35,7,40,0.6649350649350649,0.3601179534706258,0.553247890269705,154,qwen3
35,10,10,0.6363636363636364,0.3601404598036399,0.6048542036528126,177,qwen3
35,10,20,0.6573134328358209,0.3600782318951855,0.5770081957246042,168,qwen3
35,10,30,0.6620253164556962,0.3604430976948437,0.5669641771443859,158,qwen3
35,10,40,0.6784741144414169,0.3605867508697014,0.5714633137965417,147,qwen3
35,15,10,0.6411355115158007,0.356112896656904,0.6006712225491865,188,qwen3
35,15,20,0.6664652567975831,0.356174008647254,0.5759138111335392,166,qwen3
35,15,30,0.6677631578947368,0.3580555054711853,0.5792456042218925,152,qwen3
35,15,40,0.6709677419354839,0.3628826169731136,0.5506213672511491,155,qwen3
40,5,10,0.6484276729559748,0.3634989014412417,0.6229480288917532,159,qwen3
40,5,20,0.6558922558922559,0.3566018017297709,0.5904812860234928,149,qwen3
40,5,30,0.6675938803894298,0.3620266627531014,0.5910649578053941,144,qwen3
40,5,40,0.674074074074074,0.3705105391718343,0.567864004474817,135,qwen3
10,5,10,0.5910652920962199,0.3490812623639386,0.7227315839392982,570,robbert
10,5,20,0.6265878230398598,0.3504823504768554,0.6783968481723778,472,robbert
10,5,30,0.6382926829268293,0.3571898236866522,0.674797538850653,425,robbert
10,5,40,0.6360191967668604,0.3555284848777388,0.6550742965539045,410,robbert
10,7,10,0.598589001447178,0.3463077949217355,0.7104744765193706,571,robbert
10,7,20,0.6205944798301486,0.3554911320464619,0.6680366740436294,488,robbert
10,7,30,0.6466616654163541,0.3545712183811203,0.6771565456358375,414,robbert
10,7,40,0.650636859890824,0.3558035301817582,0.6610569323183929,397,robbert
10,10,10,0.5957408081543502,0.3462997815298851,0.709526009873781,567,robbert
10,10,20,0.6276881720430108,0.3578060434637712,0.6859602616795155,462,robbert
10,10,30,0.6296737318409145,0.3609214857266212,0.6650453561613853,435,robbert
10,10,40,0.6468621399176955,0.356618878074771,0.6470731292103408,402,robbert
10,15,10,0.5960555149744339,0.345811518466309,0.6979741725236509,565,robbert
10,15,20,0.6254378283712785,0.3521793401826441,0.6720737372017802,470,robbert
10,15,30,0.631503920171062,0.3577587881457199,0.6547824606629539,437,robbert
10,15,40,0.6392969569779643,0.3597618564821136,0.6511101923684914,396,robbert
15,5,10,0.6364106542539436,0.3549104410916162,0.7166516695444928,397,robbert
15,5,20,0.6719330855018587,0.3619669963260368,0.6972445827962742,332,robbert
15,5,30,0.6687017994858612,0.3657990017906637,0.6679393954133126,319,robbert
15,5,40,0.6680613668061367,0.361952384810619,0.6708091150076607,294,robbert
40,7,10,0.7007510109763143,0.3771581385864876,0.7083829859675576,174,robbert
40,7,20,0.6942557134033354,0.3801547395615391,0.6858143437340403,163,robbert
40,7,30,0.6904005085823267,0.3811250048229425,0.6585276879301539,158,robbert
